datetime_utc,model,warmup_seconds,measured_seconds,questions
2026-03-18T12:03:35+00:00,deepseek-coder:latest,0,2,9
2026-03-18T12:07:01+00:00,deepseek-r1:8b,2,6,9
2026-03-18T12:10:06+00:00,gemma3:1b,0,3,9
2026-03-18T12:13:23+00:00,llama3.1:latest,1,6,9
2026-03-18T12:16:29+00:00,llama3.2:latest,0,3,9
2026-03-18T12:39:55+00:00,llava:latest,1,7,9
2026-03-18T12:43:09+00:00,mistral:latest,1,7,9
2026-03-18T12:49:16+00:00,phi3:latest,1,4,9
2026-03-18T13:07:07+00:00,Qwen2.5-coder:latest,1,7,9
2026-03-18T13:10:19+00:00,qwen3:latest,1,5,9
2026-03-18T13:52:32+00:00,deepseek-coder:latest,0,2,9
2026-03-18T13:56:27+00:00,deepseek-r1:8b,2,34,9
2026-03-18T13:59:33+00:00,gemma3:1b,0,3,9
2026-03-18T14:02:51+00:00,llama3.1:latest,2,6,9
2026-03-18T14:05:57+00:00,llama3.2:latest,0,3,9
2026-03-18T14:09:14+00:00,llava:latest,1,7,9
2026-03-18T14:12:31+00:00,mistral:latest,1,8,9
2026-03-18T14:22:01+00:00,phi3:latest,0,3,9
2026-03-18T14:25:18+00:00,Qwen2.5-coder:latest,1,7,9
2026-03-18T14:28:49+00:00,qwen3:latest,1,22,9
2026-03-18T14:37:41+00:00,deepseek-coder:latest,0,2,9
2026-03-18T14:43:09+00:00,deepseek-r1:8b,1,10,9
2026-03-18T14:48:15+00:00,gemma3:1b,0,3,9
2026-03-18T14:53:37+00:00,llama3.1:latest,3,7,9
2026-03-18T14:58:43+00:00,llama3.2:latest,0,3,9
2026-03-18T15:04:00+00:00,llava:latest,1,7,9
2026-03-18T15:09:21+00:00,mistral:latest,3,8,9
2026-03-18T15:19:28+00:00,phi3:latest,1,4,9
2026-03-18T15:24:47+00:00,Qwen2.5-coder:latest,1,7,9
2026-03-18T15:30:41+00:00,qwen3:latest,2,37,9
